#Drug	Gene
DB07847	P00742
DB00222	P48048
DB01590	P42345
DB00934	P35348
DB00250	P05181
DB00381	Q01668
DB04552	P51800
DB00934	P28335
DB01392	Q14500
DB01224	P10635
DB07371	P01857
DB00674	Q07001
DB00273	Q9UN88
DB01049	O94956
DB04855	Q08289
DB00898	P34903
DB05039	P22309
DB00128	P61626
DB00255	P11511
DB00028	P12314
DB00898	P42263
DB00989	P22303
DB01435	P33261
DB03814	P06276
DB03448	P07998
DB09074	P20813
DB01369	P08684
DB00381	P10632
DB07785	P00813
DB00605	P23219
DB00021	P47872
DB01427	Q14432
DB00292	Q99928
DB02468	P09601
DB00514	P24462
DB00201	P30542
DB00201	P54750
DB00470	P04798
DB01340	P12821
DB03201	P15085
DB07619	P28845
DB07348	Q99418
DB00061	P62993
DB00307	P08684
DB04896	O15399
DB00142	P42261
DB00987	P06746
DB00857	P10632
DB04137	P84077
DB08005	P53779
DB05266	Q08493
DB07950	P63208
DB08918	P23975
DB00842	A8MPY1
DB04817	P20813
DB04896	Q05586
DB02697	P08254
DB08885	P49763
DB07555	P22303
DB00860	P04150
DB01212	P15104
DB00182	P10635
DB01769	P30305
DB06144	P28335
DB00288	P04083
DB04572	P20813
DB03496	Q00535
DB08629	P36542
DB00454	P08173
DB08875	P08684
DB00659	P14867
DB01246	P35367
DB00904	P35372
DB03453	P60568
DB03623	P53779
DB00255	P05181
DB04581	Q16769
DB02107	Q6UWN8
DB00716	P07900
DB06144	P35368
DB00114	O15269
DB00477	P28335
DB00184	P21397
DB00182	P07550
DB00690	O00591
DB00983	P11509
DB01261	P27487
DB08224	P23141
DB00008	P48551
DB00997	P08684
DB06961	P07900
DB01863	P23677
DB06959	P17612
DB07236	Q15788
DB01088	P34995
DB01624	P35367
DB00257	O15554
DB08818	O75330
DB05147	P04350
DB03504	P07900
DB00843	P11712
DB06937	Q92731
DB00140	P30043
DB04216	P48736
DB07243	O14757
DB01727	P48735
DB00449	P08913
DB00796	P10632
DB00711	P06276
DB01069	P20309
DB01205	P14867
DB00281	P08684
DB00495	P11712
DB00773	P05181
DB06845	P07477
DB00922	Q15842
DB00605	P05177
DB00753	P20813
DB05307	P20711
DB04315	P15170
DB04908	P08684
DB00776	P33261
DB01589	Q9UN88
DB01544	P31644
DB06712	P11509
DB08776	O14757
DB02530	P50440
DB00182	P18089
DB00087	P08637
DB00129	P30825
DB00384	P37088
DB00030	P29120
DB00897	Q16445
DB01246	P08684
DB08895	P52333
DB00972	P11509
DB01067	Q09428
DB01100	P14416
DB03338	P62942
DB00418	P48169
DB03110	Q16539
DB00619	P11712
DB00786	O75900
DB07246	P14780
DB01045	Q02928
DB08285	P24941
DB08270	P43235
DB00852	P17544
DB07750	P24941
DB08555	P53779
DB00957	P03372
DB07741	P00734
DB08729	O76074
DB01026	P04798
DB00747	P08912
DB00694	P04798
DB02462	P35228
DB01049	O00591
DB00157	P50213
DB01159	P11712
DB02459	P00751
DB00748	P35367
DB00477	Q12809
DB05359	P48039
DB04069	P53355
DB00999	Q16790
DB00810	P10635
DB07708	Q15596
DB00030	P16519
DB00142	P38435
DB01198	P34903
DB01352	P34903
DB07984	P23219
DB00608	P10635
DB00231	Q9UN88
DB01142	P31645
DB04716	P52333
DB03147	O95831
DB02218	P04746
DB00686	P08620
DB00005	P00736
DB00248	P08684
DB03028	P07339
DB06209	O00748
DB07780	O95749
DB00622	P08172
DB03401	Q9Y6I3
DB05256	Q13093
DB00289	P10635
DB00255	P10632
DB00092	P08637
DB04896	Q12879
DB05216	P08581
DB01224	P21918
DB00753	P78334
DB01024	P12268
DB00958	P02795
DB08439	P08684
DB00123	P30825
DB01149	P35348
DB00468	P04798
DB05875	P35354
DB03643	P07477
DB00171	P33121
DB00157	P28331
DB00145	P48067
DB00441	P23921
DB03401	P23677
DB04250	P06276
DB09018	P14416
DB01081	P41143
DB00818	P78334
DB01394	P20813
DB01205	P18505
DB00687	P10275
DB00315	P28221
DB01771	P07477
DB05094	P10275
DB00091	P11712
DB00245	P11229
DB00424	P08172
DB06712	Q13698
DB06098	P45880
DB06707	P35348
DB00188	P04798
DB05246	P33261
DB00909	P08684
DB01863	P31749
DB07636	P08574
DB00714	P35462
DB08569	P61925
DB00818	P20813
DB01138	P08684
DB00002	P08637
DB00958	P47989
DB08866	P08684
DB00334	P31644
DB00237	P47869
DB07168	Q13554
DB04147	P60981
DB01388	O43497
DB05137	Q9UGM1
DB00933	P14416
DB04396	P09382
DB03155	P07998
DB00387	P08172
DB09026	P08684
DB00131	P09467
DB01833	P29474
DB00247	P41595
DB01588	O14764
DB04947	Q01959
DB01151	P14416
DB07218	P45983
DB00418	P42262
DB00843	P28223
DB00898	P78334
DB00333	P11511
DB05150	P05067
DB09102	P24462
DB07276	Q9UQF2
DB00004	P14784
DB00104	P35346
DB09280	P33261
DB00546	P18505
DB05066	P34130
DB00413	P28335
DB01233	P05093
DB01876	P07477
DB01565	P41143
DB08912	P53667
DB00157	P17568
DB00157	P31937
DB02740	P01848
DB00835	P08684
DB03147	P21397
DB01159	P59768
DB06204	P35372
DB01045	Q9Y6L6
DB00005	P35354
DB00602	P28472
DB06738	Q05586
DB01242	P31645
DB00528	P24462
DB00125	P30825
DB03359	P22303
DB05199	P17752
DB01098	P11712
DB03447	P07998
DB07943	Q16539
DB00777	P21728
DB08954	Q13224
DB00523	P10826
DB00571	P08908
DB01023	P54750
DB00835	P08172
DB00387	P11229
DB00514	P15153
DB04260	P00491
DB02196	P16442
DB01107	O14764
DB06972	P20701
DB01595	P47869
DB00422	P23975
DB00143	P07203
DB07677	Q9Y6F1
DB08756	Q13464
DB00656	P20815
DB06857	P00749
DB08172	Q02127
DB00130	Q16773
DB00682	P08684
DB01028	P30049
DB00514	P30926
DB00763	P20813
DB00536	P78352
DB02126	P68871
DB06800	P35372
DB00753	P31644
DB00421	O95180
DB00214	P33261
DB00565	Q15822
DB00544	P11509
DB00340	P20309
DB00690	Q16445
DB03088	Q9UKQ2
DB04676	P01877
DB05692	P25116
DB00306	P47869
DB00568	P10635
DB01026	P05177
DB02089	P06737
DB08019	P29474
DB00237	P14867
DB08605	Q16698
DB01028	P20813
DB06148	P21728
DB00184	P32297
DB04200	Q6PKH6
DB05798	P10644
DB00667	P35367
DB00721	P21397
DB03772	P16442
DB05804	P11511
DB00317	P11712
DB00356	P11509
DB01115	P11509
DB00794	Q8N1C3
DB01095	P20813
DB03106	O14735
DB00675	P04798
DB04447	Q9UQM7
DB06204	O60656
DB00316	P05181
DB05428	Q9NNW7
DB05630	P11387
DB08815	P08684
DB01069	P20813
DB00683	P28472
DB01955	P14555
DB00647	P11712
DB00451	P08684
DB00316	P50225
DB06850	P07477
DB07562	P20248
DB00622	P05181
DB00401	P20815
DB01403	P05181
DB08064	Q16539
DB01110	P33261
DB00540	P23975
DB07194	P43405
DB00145	Q9BYV1
DB00451	P10827
DB03104	P12931
DB00281	P00533
DB04204	P18031
DB00543	P18089
DB00408	P08173
DB00463	P14867
DB08248	P24941
DB01142	P08913
DB00841	P07550
DB07276	P45983
DB05418	P25103
DB00349	P18507
DB01752	Q14353
DB00351	P06401
DB07269	P15086
DB07664	Q9H2G2
DB00142	O00222
DB00945	Q00653
DB00829	P05177
DB00024	P16473
DB00909	P22748
DB00238	P20815
DB02325	P01625
DB07959	O14757
DB00307	P19793
DB01069	P08172
DB04827	P47712
DB05676	P01375
DB00387	P20309
DB01567	P47869
DB07280	P55263
DB02494	P61927
DB04132	P08263
DB05434	P09038
DB00636	P20813
DB04371	P00918
DB00496	P10635
DB01241	P10632
DB00712	P35354
DB02264	Q9Y663
DB07763	P14927
DB04652	P08235
DB07833	Q16539
DB09570	P05177
DB01236	P42261
DB08933	P33261
DB00420	P08912
DB00526	P04731
DB00246	P21918
DB02279	Q9UJM8
DB01873	Q9H4B7
DB08403	P03956
DB00958	P04731
DB02551	P00749
DB08815	P18825
DB00683	A8MPY1
DB08437	P39023
DB00439	P33261
DB06268	P25101
DB00238	P10635
DB00176	P20813
DB00250	P10632
DB06186	P16410
DB01694	P26196
DB01992	O75390
DB00142	P17174
DB00434	P20309
DB00013	P98164
DB07137	P24941
DB00237	P47870
DB08066	O14965
DB01236	P23415
DB02644	P35228
DB04223	P29474
DB00308	Q02641
DB00145	P23378
DB03809	P07900
DB00675	P50225
DB04088	P18031
DB04464	P01008
DB00997	P14550
DB07326	P35968
DB00898	P47869
DB01133	P18031
DB06791	P30874
DB01821	P29475
DB03059	Q16836
DB00421	Q8IZS8
DB02628	P98170
DB00495	O14746
DB00171	P37023
DB00157	P40939
DB00114	Q96EN8
DB08299	Q07343
DB01159	P08684
DB06892	Q02750
DB00445	P11388
DB01926	P80188
DB00773	P11388
DB04659	P09848
DB00257	P33261
DB00323	P11712
DB00947	P08684
DB01392	P28223
DB05470	P01375
DB05479	Q01726
DB00966	P33261
DB00296	P10635
DB01226	P20309
DB03541	P16083
DB05316	P14416
DB06940	Q16539
DB07854	P61925
DB00540	P23219
DB00033	P38484
DB00054	P12314
DB04315	P68104
DB01105	P23975
DB00917	P05177
DB00842	P20815
DB01200	P28223
DB00714	P28221
DB02210	P01112
DB08901	P10721
DB00157	P03886
DB01409	P08684
DB00420	P05177
DB00184	P11511
DB08238	P05230
DB00594	P19634
DB00285	P11712
DB09559	P00533
DB00940	P11229
DB01295	P08588
DB00973	P35610
DB00126	Q6NS38
DB06802	P35354
DB01219	P08684
DB00747	P11229
DB00915	Q8TCU5
DB08896	Q16832
DB05806	P11387
DB03881	P00491
DB01238	P18089
DB00439	P10632
DB09078	P35968
DB04636	Q16769
DB00586	P33261
DB00149	O15382
DB00836	P20813
DB08295	P04211
DB04683	Q13285
DB04315	Q9Y689
DB07795	Q00534
DB00172	Q8IVL6
DB06835	P15086
DB07351	P15085
DB00237	P34903
DB00628	O14764
DB01336	Q15822
DB09051	P34059
DB00207	P11509
DB00701	P20813
DB01303	P05177
DB03721	P05451
DB06605	P51589
DB07066	P11217
DB01110	Q12809
DB00114	O15382
DB00875	P28223
DB06982	P63208
DB00312	P48169
DB00448	P10632
DB04919	P02671
DB00801	O14764
DB04522	Q04759
DB08870	P08684
DB00588	P20815
DB00784	P35354
DB07889	P24941
DB05142	O00408
DB06927	Q92731
DB00363	P04798
DB00421	Q6TME4
DB00590	Q9H252
DB00716	P21462
DB00129	O43246
DB01436	P11473
DB03861	P07686
DB04703	Q96GD4
DB05482	P11387
DB08395	Q16539
DB00270	Q01668
DB00786	Q9NRE1
DB00934	P18825
DB06976	P24941
DB00248	P35462
DB08896	P11362
DB00145	Q8WU03
DB06932	O15530
DB00043	P12319
DB01580	P08588
DB00514	P05181
DB00246	P21917
DB00777	P21917
DB08202	P00918
DB00850	P33260
DB01437	P31644
DB00667	Q9Y5N1
DB01107	P48169
DB05291	P05177
DB01001	P07550
DB02354	P07477
DB01055	P34896
DB02027	P29475
DB02396	P02144
DB05161	P05164
DB00370	P41595
DB01026	P20815
DB06774	P08684
DB02884	P08048
DB01248	P20815
DB00751	P10635
DB01400	P22303
DB00745	Q01959
DB02932	P10275
DB04140	P08254
DB00952	P28221
DB05797	P12319
DB04419	P00439
DB00675	Q16678
DB00924	P28223
DB01588	P28472
DB08304	P42262
DB08515	O14818
DB00019	Q99062
DB02197	P24941
DB03628	P12931
DB02081	P07477
DB04929	P20292
DB00313	Q9UKV0
DB05383	P35625
DB00054	P02746
DB00436	Q12791
DB00182	Q01959
DB00064	P02760
DB00237	Q13002
DB00470	P21554
DB00246	P35348
DB01267	P35367
DB00257	P11509
DB00898	Q99808
DB01129	P11712
DB03256	O95954
DB01218	P10632
DB01594	P28472
DB01700	P31939
DB02659	P00414
DB03434	P22749
DB00575	P35368
DB01355	Q16445
DB00013	P00747
DB04664	P20813
DB00750	Q14524
DB00912	Q09428
DB00988	P05177
DB00818	P04798
DB06774	P05181
DB01579	P35368
DB04464	P13073
DB00696	P21918
DB08531	P24941
DB00157	P05091
DB01962	P12931
DB00549	P10632
DB00783	P22309
DB01221	P10632
DB04527	O00187
DB03010	Q9H4B7
DB00227	P22309
DB00121	O00763
DB00842	P47869
DB06726	P10635
DB00667	Q9H3N8
DB09049	P08684
DB00259	P11712
DB00184	P17787
DB00048	P02461
DB00020	P15509
DB03326	P07998
DB05338	P03372
DB07936	P24941
DB05047	P42261
DB00349	P33260
DB00690	P48169
DB02034	Q16706
DB01221	P20309
DB07383	P17538
DB01008	P09488
DB01070	P11473
DB00858	P10275
DB04396	O14594
DB05752	P08172
DB01142	Q12809
DB00755	P48443
DB07248	Q05397
DB00624	P33261
DB00540	Q99720
DB00273	P48169
DB00407	P01008
DB00162	Q96NR8
DB08568	P17612
DB03904	P05089
DB00286	P03372
DB01536	P42330
DB00130	O94925
DB03424	P09960
DB05459	Q9NPF7
DB00163	P23743
DB00157	Q02928
DB06605	P08684
DB00207	P08684
DB05254	P05121
DB02255	Q9UKQ2
DB08787	P07900
DB04008	P07477
DB05184	P08069
DB07111	P37231
DB00661	P20813
DB00958	P15559
DB05687	P28223
DB05766	P14416
DB01159	P18507
DB00316	P35354
DB06148	P18089
DB01535	P41145
DB00081	P31995
DB00244	O15111
DB00774	O43570
DB00904	P08684
DB06204	P41143
DB00812	Q16647
DB00157	P49448
DB06176	P20813
DB08763	P07477
DB01028	P31644
DB06984	Q16706
DB06213	P29274
DB07112	Q9GZT9
DB04352	Q9BW91
DB04057	P31939
DB04272	Q9HB21
DB08827	P55157
DB00157	O95167
DB00549	P10635
DB01107	P78334
DB01733	P14618
DB06335	P27487
DB00142	P24298
DB04552	P04054
DB02519	P11217
DB00589	P21917
DB01199	Q15822
DB01018	P08684
DB04418	Q8N142
DB00173	O00763
DB00145	P50440
DB00822	P05091
DB04799	O14949
DB08345	P68400
DB06288	P28223
DB02950	P06493
DB00157	P28332
DB00886	P08473
DB04825	Q9H1R3
DB08690	P07919
DB00122	Q13393
DB00951	P05181
DB00244	P09917
DB03316	Q9Y6I3
DB00951	P11245
DB00641	P10635
DB00705	P10632
DB00619	P24462
DB00910	P22310
DB00563	P52209
DB01403	P08913
DB00201	O76083
DB00780	P33261
DB07997	P61925
DB04400	P61457
DB00819	P08684
DB00904	P20815
DB01224	P50406
DB01594	P31644
DB01136	Q16665
DB07321	P09467
DB07374	P61927
DB00114	Q9BYV1
DB03040	P02788
DB00978	P11388
DB02872	Q00987
DB04311	P07477
DB00822	P09172
DB01196	P78559
DB03092	P19961
DB04707	P17612
DB07577	P04818
DB00951	P11509
DB00208	P08684
DB00939	P09917
DB00142	Q8N5Z0
DB00123	Q15046
DB07780	P49356
DB00193	P20813
DB04136	P00734
DB00157	O43676
DB00726	P28221
DB07804	P00742
DB02216	P07339
DB00241	Q99928
DB00858	P11511
DB05239	P24462
DB07841	P49354
DB00582	P23219
DB00503	P20813
DB08048	Q15596
DB03891	P43235
DB00691	Q9BYF1
DB00228	P42261
DB00321	P11712
DB01179	P68366
DB01864	P62491
DB07094	P09960
DB04842	P14416
DB09202	P35348
DB01037	P05177
DB00441	P30085
DB00696	P28335
DB07220	P24941
DB00999	P00918
DB01174	Q16678
DB04946	P24462
DB04841	P05177
DB00072	P31994
DB00887	Q9UP95
DB08752	P25774
DB00292	P28472
DB01614	P08908
DB00834	P20815
DB00683	O00591
DB07724	Q03181
DB02709	P08684
DB00373	P07550
DB01036	P08684
DB08213	P42574
DB08609	Q15119
DB03721	P25311
DB08896	P11712
DB03909	P06213
DB00897	P10632
DB00145	P23416
DB01351	P11509
DB01942	Q13363
DB00461	P05177
DB00207	P05177
DB05451	Q00653
DB00143	Q8TED1
DB01009	P10632
DB00108	P08637
DB00346	Q12809
DB01110	Q9NS40
DB04272	P07741
DB00412	P11509
DB00095	P00736
DB07224	P07858
DB00228	P34903
DB01189	Q09470
DB00011	P48551
DB00502	P16152
DB08125	P24941
DB00075	P07766
DB00783	P10632
DB04879	P35968
DB00277	P29274
DB02271	O60551
DB04072	Q99798
DB03073	P09874
DB00493	Q9NSA0
DB01093	P08684
DB00586	P08684
DB01169	P31749
DB01211	P05177
DB01248	O75469
DB05152	P11229
DB05271	P08908
DB06603	O15379
DB00792	P35367
DB00188	P33261
DB00475	O14764
DB00678	P35503
DB00408	P21918
DB04940	P10415
DB00661	Q12809
DB00246	P35367
DB03988	P18509
DB07647	O14757
DB00458	P08684
DB08848	P48066
DB00783	P20815
DB06150	P11712
DB07419	P10275
DB03337	P07477
DB06714	Q96RJ0
DB00363	P28222
DB00624	P10275
DB04852	P55157
DB01186	P08908
DB01327	P27169
DB02911	P29474
DB02063	P07477
DB07877	P08238
DB07428	P69905
DB01227	P24462
DB02918	Q08499
DB03783	P11509
DB00246	P10635
DB04005	Q9BZX2
DB07384	P36542
DB00737	P05177
DB00782	P11229
DB08896	P09619
DB06210	P35503
DB00214	Q13621
DB00334	P05177
DB06262	P08913
DB00242	P23921
DB07821	Q15102
DB02189	P04053
DB01241	P08684
DB06089	P56696
DB00071	P01906
DB04679	P16442
DB00644	Q96P88
DB01544	P11712
DB01166	P20815
DB03754	Q96FI4
DB08808	P08588
DB03767	P25774
DB00620	P35354
DB04099	Q96T66
DB08453	O14949
DB04978	P11388
DB01239	P35462
DB00502	P28223
DB02115	P05091
DB04733	P04075
DB00420	P21728
DB00264	P10635
DB03345	Q9NVS9
DB00711	P23219
DB00186	O14764
DB01577	P18089
DB01110	P10635
DB02733	P27361
DB06267	O76074
DB01544	P30536
DB03041	O94766
DB02381	P05089
DB00409	P14416
DB00189	Q8N1C3
DB00439	P10635
DB05147	Q13885
DB02046	Q9UKQ2
DB00589	P21728
DB08149	P61925
DB00568	P11712
DB00996	Q12879
DB02901	P11511
DB02930	P54278
DB00356	P05177
DB02215	Q9UKQ2
DB00163	P62714
DB00524	P55017
DB00915	P27338
DB04379	P00797
DB07618	P24941
DB00667	P08684
DB00946	Q9BQB6
DB07604	O14983
DB00801	A8MPY1
DB07763	O14949
DB04083	Q16773
DB04464	P53611
DB01191	P33261
DB01586	P05181
DB01036	P11712
DB00144	P49619
DB00270	Q13936
DB08162	O75116
DB03531	P14920
DB00870	P35354
DB01110	Q9Y691
DB00393	Q01668
DB01095	P11712
DB05129	P11387
DB08633	P50579
DB00709	P22392
DB00228	Q9UN88
DB01198	P47869
DB01248	Q9H4B7
DB01819	P35558
DB00138	P82251
DB02004	P27487
DB00142	P43003
DB05760	P10092
DB03525	P12931
DB01037	P11712
DB07769	P10275
DB01248	Q16678
DB00777	P35368
DB00243	Q14524
DB07303	P56817
DB08402	P19793
DB00078	P31995
DB00142	Q9ULA0
DB00745	P05177
DB00502	P10635
DB00622	P11712
DB00407	P05546
DB00446	P11712
DB00159	Q03181
DB02044	P35228
DB07105	P00734
DB03417	P07477
DB01028	P47869
DB01028	O00591
DB04833	P08684
DB00115	P42898
DB07362	O14965
DB01126	P08684
DB08901	P00519
DB02483	Q10588
DB00312	P78334
DB00167	P45954
DB00396	P04798
DB05203	Q9BYF1
DB04855	P08913
DB01115	O95180
DB04772	P00734
DB00334	P21917
DB00712	O60656
DB07501	P24941
DB01151	P07550
DB04016	P08311
DB01110	Q92952
DB03435	P16442
DB03782	P00749
DB06148	P14416
DB06843	O95622
DB01072	P11712
DB00131	O43741
DB09069	P09110
DB01068	P78334
DB00292	O00591
DB08881	P08684
DB00608	P04798
DB00138	Q9UPY5
DB00215	P35367
DB04137	P01112
DB00334	P78334
DB06042	Q13509
DB06603	Q9UKV0
DB00446	P33261
DB08807	P07550
DB01186	P35368
DB00907	P20815
DB00343	P11712
DB07950	Q9NZK7
DB00114	Q6YP21
DB00440	P11712
DB01406	P08684
DB01229	P20815
DB02383	P15121
DB01381	P18507
DB00439	P20815
DB00777	P20309
DB03442	P31939
DB06268	P08684
DB01002	P08684
DB08437	P62750
DB00867	P52209
DB00542	P12821
DB00801	Q16445
DB02058	P11362
DB00622	P54750
DB00182	P08913
DB03478	Q9NXA8
DB09330	P00533
DB01365	P18825
DB00334	P08588
DB06042	P11388
DB00377	P05177
DB00261	Q14432
DB01375	P63316
DB00515	P11712
DB05212	Q00653
DB00829	Q9UN88
DB00114	P04181
DB00921	P35372
DB00067	P37288
DB00379	Q14524
DB04997	P13612
DB08515	P28070
DB07811	Q16539
DB00273	O14764
DB00313	P16662
DB04315	P51149
DB01050	P13569
DB01090	P30926
DB04896	Q8TCU5
DB00973	P35503
DB05269	P06858
DB02999	P42262
DB00030	P16870
DB00514	Q8TCU5
DB00819	Q9ULX7
DB03479	P11217
DB00678	P20815
DB00726	P08173
DB01211	P33261
DB06871	Q15596
DB07792	P11217
DB06413	P08684
DB00201	P35913
DB00279	P10827
DB00404	P48169
DB06684	P08684
DB08640	Q9UNI1
DB00268	P28223
DB07095	P00734
DB00945	P25101
DB08396	P01768
DB00546	P24046
DB02378	P56817
DB01213	P00326
DB04775	P68133
DB08398	P03372
DB08330	P14927
DB01352	P43681
DB00170	P02818
DB02633	P09211
DB04841	P35367
DB00568	P11229
DB04348	P51161
DB00217	P18089
DB00173	P22309
DB01608	P21728
DB00200	Q99707
DB03247	Q12882
DB01166	P24462
DB02325	P13686
DB00041	P08684
DB05501	P61073
DB02379	Q9BW91
DB04889	P23975
DB00312	P18507
DB06413	P33261
DB03959	P09038
DB01065	P11511
DB07069	Q16719
DB01351	Q16445
DB01393	P10632
DB00997	P29475
DB00570	P08684
DB03323	P19961
DB06292	P11509
DB00327	P10635
DB02991	P29475
DB00979	P11229
DB00349	Q8N1C3
DB04946	P08684
DB07664	P42684
DB00935	P18089
DB01134	P08235
DB01025	P05230
DB07970	Q15375
DB00443	P08684
DB06216	P22310
DB00189	Q9UN88
DB01023	P10632
DB01136	P23219
DB07688	P20248
DB08815	P08908
DB00172	Q9UN76
DB03783	P05177
DB00458	P33261
DB00679	Q12809
DB04112	P14555
DB00157	P30519
DB00964	P35348
DB01766	P54577
DB00794	P48169
DB00295	P08684
DB00014	P30968
DB00708	P41143
DB01110	P11511
DB01050	P10415
DB01124	P11712
DB06616	Q02750
DB00116	P31939
DB00818	P31644
DB02209	Q9NVS9
DB02721	P07327
DB00143	P59796
DB07122	P00749
DB07215	Q07869
DB08175	Q15596
DB00539	P04798
DB08513	P28482
DB01736	P12235
DB00247	P28566
DB06073	P56817
DB00201	P42336
DB00716	Q9Y271
DB01567	O00591
DB00244	P37231
DB00306	P18505
DB00918	P05181
DB02846	P08758
DB00306	P48169
DB07881	P01857
DB01115	Q08289
DB08692	P17538
DB00418	P34903
DB00773	Q02880
DB04910	P68371
DB00114	P06737
DB05041	O95045
DB03461	Q14914
DB09076	P10635
DB00334	O14764
DB00592	P10635
DB00334	P21728
DB00697	P18825
DB07728	Q16644
DB03396	P50579
DB00987	P21589
DB00154	P35354
DB03805	Q02127
DB04315	P15531
DB03093	P07900
DB04614	P22303
DB06967	P00797
DB00159	O14842
DB08302	P37231
DB02547	O60547
DB00898	P00326
DB00714	P28222
DB08169	Q02127
DB00843	P08684
DB01059	P24462
DB00402	P08684
DB00398	P20813
DB00458	Q12809
DB01239	P21728
DB05007	P04626
DB02950	P24941
DB00466	O75311
DB01142	P14416
DB02201	Q99470
DB01144	P11712
DB01184	P14416
DB03380	Q86WA6
DB00198	Q9Y3R4
DB00233	P09917
DB00231	P14867
DB00286	P05177
DB00151	P17174
DB00028	P31995
DB00201	Q08499
DB00416	Q15822
DB05229	P10632
DB00184	P30532
DB06605	P10632
DB08402	Q15596
DB00659	Q99928
DB01589	P47870
DB01138	P10632
DB00118	P21964
DB00477	P21917
DB01229	P10636
DB04583	Q02127
DB03707	P29475
DB01215	O14764
DB00908	Q14524
DB00956	P08684
DB05764	P10415
DB09048	Q9HB55
DB06589	P35916
DB00184	P30926
DB08437	Q9UNX3
DB05069	Q9UGM1
DB02379	P23219
DB00136	P11473
DB00315	P08908
DB01208	P11388
DB08072	P00749
DB01944	Q7Z406
DB00110	P00736
DB01631	P01857
DB03317	P11712
DB04244	P43235
DB00201	P05177
DB06851	P09960
DB07717	P10275
DB08287	P43235
DB00448	P33261
DB05372	P21554
DB01076	P22309
DB01964	P00918
DB08869	Q02643
DB00433	P14416
DB07646	Q02127
DB00224	P10635
DB01392	P48048
DB00502	P11712
DB00701	P10635
DB01138	Q92887
DB00231	P34903
DB01118	O95180
DB01238	P20815
DB00599	P34903
DB01388	P10635
DB04126	P07858
DB03928	P32929
DB05428	Q16881
DB07397	P22894
DB00231	P10632
DB00953	P28222
DB04216	P25705
DB08254	P00734
DB01037	P10635
DB00277	P05177
DB01127	P11511
DB05461	P18089
DB04871	P05177
DB00425	P08684
DB04795	P23141
DB01115	P08684
DB00653	Q13936
DB00321	P11229
DB01025	P80511
DB04799	P31930
DB07051	Q08499
DB05005	P51686
DB00363	P08172
DB00898	Q70Z44
DB06712	P11712
DB01354	Q13002
DB01644	P00390
DB00129	Q9BXI2
DB00278	P08684
DB07322	P50579
DB00694	P16435
DB01037	P05181
DB00363	P10632
DB00142	Q05329
DB00543	P08172
DB06267	P08684
DB00349	P47869
DB00170	P42898
DB00502	Q13224
DB00794	Q9UN88
DB01068	Q9UN88
DB05197	P16152
DB01221	P14416
DB04709	P10275
DB00328	P35354
DB08678	P23467
DB00383	P08172
DB00784	P23219
DB06875	Q92731
DB01224	P25100
DB03945	P02741
DB08299	P27815
DB00622	P08173
DB00334	P48169
DB07245	P56817
DB00222	P11712
DB00078	P02745
DB08025	P53779
DB02967	Q05315
DB00284	P04746
DB00762	P11387
DB01388	P04798
DB08240	P04075
DB07482	P27487
DB00801	P34903
DB00312	P43681
DB06698	P35367
DB07318	P35228
DB07816	P01857
DB00988	P10635
DB08370	P09211
DB00143	O75715
DB00496	P08173
DB01107	P47870
DB00228	P78334
DB01227	P11511
DB06697	P10635
DB06831	P48736
DB03983	P51687
DB00844	P41143
DB00932	P10635
DB07159	P43405
DB07707	Q15596
DB00028	P08637
DB00636	P05181
DB00814	P10632
DB08382	P27487
DB00546	P14867
DB00404	O00591
DB00925	P35348
DB01212	P46059
DB00917	P35408
DB01033	P20839
DB00493	P46059
DB00730	P04798
DB01159	P10635
DB00861	P23219
DB01065	P11712
DB00316	O60656
DB03731	P78540
DB00370	P08684
DB00157	Q02338
DB03169	P04035
DB09078	Q06278
DB04855	P35498
DB00594	P00749
DB00280	P20309
DB03294	P00918
DB05235	Q14894
DB06936	P00734
DB02773	P23219
DB00934	P08913
DB00143	P46439
DB05419	Q9NYX4
DB00457	P18089
DB01017	P29466
DB00334	P21918
DB02604	P11217
DB01064	P27986
DB01466	P20813
DB05758	P01375
DB00850	P10632
DB08535	P24941
DB05713	P00742
DB00073	P12314
DB00593	Q9HB55
DB00690	P34903
DB04464	P61769
DB00126	Q8N543
DB01710	P02144
DB03611	Q00266
DB06999	P15056
DB00247	P30939
DB04824	O60656
DB01166	P10635
DB00025	P27797
DB00031	Q03405
DB00640	P55263
DB00514	P10632
DB00281	P11509
DB00139	Q12797
DB01224	P20309
DB00503	P11712
DB08846	P23280
DB00679	P35368
DB01406	P06401
DB03176	P10828
DB01684	P48147
DB01193	P08588
DB01712	P62942
DB06070	P07900
DB00503	P10632
DB01064	P28482
DB01708	O00591
DB00659	Q8TCU5
DB00398	P35916
DB00945	P11021
DB00413	P08913
DB01068	P05181
DB00794	P78334
DB01064	P07550
DB00313	Q92769
DB04665	P11509
DB00497	P10635
DB04799	P14927
DB01097	Q02127
DB06594	P49286
DB08691	P49759
DB00316	P08684
DB00926	P11511
DB06292	P06133
DB00705	P11712
DB03085	P11413
DB00363	P08684
DB00921	P05177
DB07125	O43293
DB00497	P41145
DB03721	P16109
DB04216	O94768
DB00247	P28223
DB08595	Q15596
DB07534	P24941
DB07441	P01834
DB01054	Q13936
DB00028	P31994
DB00421	Q9P0X4
DB00122	P35790
DB08170	P09237
DB01211	P08183
